driverref,position,time,ms,lap,raceid,roundNum,circuitName,circuitLat,circuitLong,circuitCountry,circuitCity
ocon,12,01:33.3,93261,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:34.4,94417,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,14,01:34.8,94783,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,15,01:33.9,93854,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,16,01:34.7,94691,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,17,01:35.2,95242,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:35.3,95282,12,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:31.3,91325,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:31.5,91469,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:31.0,90983,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:32.8,92809,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:32.5,92529,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:33.9,93863,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,7,01:34.9,94941,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,8,01:34.1,94132,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:34.1,94082,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:34.6,94634,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,11,01:34.2,94239,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,12,01:33.8,93755,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:34.6,94569,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,14,01:35.4,95439,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,15,01:35.5,95501,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,16,01:35.0,94979,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,17,01:34.6,94648,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:35.3,95289,13,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:31.9,91889,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:31.8,91802,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:31.8,91846,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:32.7,92684,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:33.3,93325,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:32.5,92528,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,7,01:35.8,95847,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,8,01:35.6,95636,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:35.4,95373,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:35.2,95235,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,11,01:35.4,95391,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,12,01:34.8,94766,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:35.1,95096,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,14,01:35.3,95313,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,15,01:35.4,95424,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,16,01:35.1,95117,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:36.9,96938,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:36.1,96137,14,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:32.0,92039,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:32.7,92748,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:32.2,92191,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:33.1,93052,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:33.0,92956,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:33.0,93025,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,7,01:35.7,95684,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,8,01:35.5,95532,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:35.6,95626,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:35.5,95529,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,11,01:35.5,95527,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,12,01:35.3,95311,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:34.9,94912,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,14,01:35.5,95512,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,15,01:35.7,95673,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,16,01:35.4,95375,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:34.3,94313,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:35.8,95818,15,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:32.1,92072,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:32.3,92286,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:32.3,92310,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:32.6,92641,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:33.6,93603,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:33.4,93360,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,7,01:34.2,94203,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,8,01:35.7,95678,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:36.0,95969,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:35.8,95775,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,11,01:35.9,95859,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,12,01:34.4,94383,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:35.2,95173,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,14,01:35.4,95350,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,15,01:35.5,95534,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,16,01:35.8,95769,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:36.3,96287,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:41.3,101335,16,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:32.1,92079,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:32.3,92322,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:31.9,91882,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:31.8,91820,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:33.6,93620,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:33.4,93373,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,7,01:33.5,93467,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,8,01:35.1,95107,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,9,01:39.4,99443,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:35.4,95442,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,11,01:35.2,95244,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,12,01:35.0,95042,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:38.9,98941,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,14,01:34.5,94478,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,15,01:34.7,94712,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,16,01:34.2,94220,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,17,01:38.9,98914,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:57.4,117356,17,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:31.4,91440,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,2,01:31.8,91819,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,3,01:36.9,96894,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:31.4,91423,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:37.2,97214,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:37.4,97376,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,7,01:38.9,98853,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,8,01:39.4,99363,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,9,01:39.2,99188,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,10,01:39.5,99546,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:39.8,99831,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,12,01:38.5,98506,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,13,01:38.7,98724,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,14,01:38.7,98696,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,15,01:56.9,116940,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,16,01:56.4,116443,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,17,01:56.4,116430,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,18,01:29.2,89169,18,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:35.3,95268,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,2,01:34.4,94439,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,3,01:35.0,94952,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,4,01:57.1,117071,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:56.4,116440,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,02:05.4,125391,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:30.0,90038,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,02:02.5,122522,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:58.2,118171,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:58.3,118284,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:57.4,117412,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,12,01:31.6,91595,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,13,01:28.9,88905,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,14,02:01.4,121411,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,15,01:28.1,88144,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,16,02:01.5,121470,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,02:00.4,120415,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,18,02:02.6,122603,19,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:54.7,114738,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:28.4,88350,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:56.7,116684,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:55.7,115724,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:27.6,87648,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:27.0,86955,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:27.4,87365,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,01:27.4,87430,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:27.4,87390,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:27.3,87279,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:27.0,86994,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,12,01:26.7,86732,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:28.0,88002,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,14,01:26.7,86695,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,15,01:27.1,87135,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,16,01:29.1,89130,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:29.3,89276,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,18,01:28.2,88183,20,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:25.5,85451,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:25.5,85528,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:24.4,84435,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:25.6,85623,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:24.7,84705,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:25.7,85689,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:26.1,86068,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,01:25.6,85555,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:25.3,85339,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:25.4,85367,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:25.5,85524,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,12,01:25.6,85645,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:25.7,85706,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,14,01:25.4,85352,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,15,01:25.5,85456,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,16,01:25.9,85943,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:26.6,86570,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,18,01:26.5,86499,21,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:23.8,83794,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:24.2,84202,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:24.1,84093,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:23.9,83880,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:23.8,83849,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:24.9,84930,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:25.2,85176,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,01:25.0,84968,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:24.5,84506,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:24.7,84672,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:24.8,84782,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,12,01:24.9,84864,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:24.7,84735,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,14,01:24.4,84402,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,15,01:24.5,84512,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,16,01:25.2,85196,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:24.9,84904,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,18,01:25.1,85121,22,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:22.9,82869,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:22.6,82583,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:23.1,83091,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:23.4,83439,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:23.3,83319,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:23.7,83685,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:24.6,84640,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,01:24.2,84194,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:23.6,83642,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:23.9,83924,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:24.1,84117,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,12,01:24.1,84062,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:24.1,84147,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,14,01:24.2,84179,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,15,01:24.4,84430,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,16,01:24.8,84817,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,17,01:24.4,84395,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,18,01:24.1,84067,23,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:22.5,82451,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:21.9,81877,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:22.4,82426,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:23.0,82973,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:23.0,83013,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:23.3,83251,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:24.0,83994,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,01:24.2,84183,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:23.3,83333,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:23.3,83278,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ocon,11,01:23.3,83337,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
albon,12,01:23.6,83603,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
gasly,13,01:23.8,83757,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
hamilton,14,01:23.4,83428,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
ricciardo,15,01:23.3,83266,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
latifi,16,01:24.5,84512,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
zhou,17,01:24.7,84732,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
mick_schumacher,18,01:33.9,93860,24,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
max_verstappen,1,01:22.2,82156,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
perez,2,01:22.0,81982,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
leclerc,3,01:21.9,81902,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
norris,4,01:22.8,82801,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
russell,5,01:22.5,82512,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
bottas,6,01:23.1,83059,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
vettel,7,01:23.6,83573,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
kevin_magnussen,8,01:23.4,83366,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
tsunoda,9,01:24.9,84925,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
stroll,10,01:24.2,84172,25,1077,4,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,Imola
